title,url,description,price,original_price,discount_percentage,discount_value,cost_per_unit,country,lead_time,supplier,returned_products,high_confidence_terms,flags,promotions,price_range,original_price_range,inventory_quantity,availability,launch_datetime,exclude_from_apps,active,category_paths,color_group,color,size,brand,gender,large_image,swatch_image,thumb_image,sku,condition,variant_options,product_class,collection_member_ids,item_id,capacity,width,height,depth,store_latitude,store_longitude,gtin,keywords,reviews
Product sSUgb,https://example.com/IajLrN49,Description R8e0QgVgdKNdT46tYl6s,69.58,70.7,1.58,1.1200000000000045,38.33,Germany,5 days,Supplier jXq5R,45,"['GeSNY', 'JA0E8', 'a1YnA']","['NZOOh', 'Lt4QK', 'guU5N']","['idL5w', 'HUW5s', '51Jwo']","[481.07, 847.76, 7.33]","[718.73, 557.28, 872.83]",893,preorder,2024-09-25T06:32:17.109582,"['pZNE1', 'IVUzE', '6QtIs']",False,Sports/Outdoor,Black,White,S,BrandD,Female,https://picsum.photos/seed/PtqXu/600/600,https://picsum.photos/seed/LbHR5/50/50,https://picsum.photos/seed/nHwC8/150/150,9e7e08a2-3fdf-4c92-adc4-706ebb0c72ef,new,"['gY1aB', 'oAdY6', 'a2RSF']",premium,"['yOGbG', 'vgwBi', 'zmw8s']",0bb0bfd1-69d6-4c6c-8b21-4b1d0850ac46,337.68,194.69,34.64,83.33,-5.644828,-65.967259,7503261789901,"['gswg9', 'UsdMk', '4kwFW']",4.5
Product Kgk9S,https://example.com/aUjS3YvE,Description Q6GpKHz48vtXv2yA70tA,438.04,453.3,3.37,15.259999999999991,377.17,Canada,7 days,Supplier hAMhK,22,"['nXLZ3', 'w2Tsw', 'AMAfy']","['oz0Tu', 'k0kSv', '4aCli']","['dYNff', 'I7r3N', 'TBCbs']","[422.57, 219.17, 287.19]","[748.98, 692.3, 570.64]",625,out of stock,2025-01-25T06:32:17.109785,"['POGIe', 'UvBuR', 'RkHLL']",True,Sports/Outdoor,Yellow,Black,L,BrandA,Female,https://picsum.photos/seed/tIrJ6/600/600,https://picsum.photos/seed/gsuS5/50/50,https://picsum.photos/seed/aYweS/150/150,b4b9cb7b-8d18-4b35-a2a2-2f47a5695371,refurbished,"['QMoeX', 'nbQha', 'fRRu1']",exclusive,"['eZbJG', 'weO0y', 'eCD5m']",dc29817d-05f6-475e-a1d9-457d48ba6c9c,28.69,187.56,20.25,115.7,31.347996,-77.817005,2941529272694,"['nKJHh', 'PR1Yl', 'qUMCg']",1.2
Product zGAHw,https://example.com/rIHOZj2X,Description 20gyFacMwrmuoN9a2Hvw,259.21,287.26,9.76,28.05000000000001,204.78,USA,7 days,Supplier 7VmNL,6,"['q7TmS', 'eCYRY', 'Pp6GR']","['unH5Y', 'mpxev', 'Hus5h']","['4m3U0', 'NoilQ', 'cqwP8']","[85.41, 333.29, 754.3]","[210.37, 891.81, 171.7]",498,in stock,2024-12-17T06:32:17.109940,"['hPuvw', 'fVwGg', 'cgtdx']",True,Electronics/Phones,Yellow,Yellow,M,BrandA,Male,https://picsum.photos/seed/BgrjA/600/600,https://picsum.photos/seed/53hL3/50/50,https://picsum.photos/seed/HRd4c/150/150,169bc6e8-5991-4770-9e54-ca5204ea8428,refurbished,"['fMvNT', 'gW3dt', 'Cxahu']",standard,"['nYql2', 'W1rdm', 'FG5zX']",ea65eaae-b572-4ca7-b82d-004a826352c2,31.26,94.84,41.1,120.48,-15.365529,-125.572727,8384282269087,"['ex0jV', 'fiT5k', 'E5juc']",4.4
Product U7fKU,https://example.com/Ib0KzPmm,Description mXrMh3bWkiIT6dokejLm,368.57,421.42,12.54,52.85000000000002,125.16,Germany,7 days,Supplier RYZbI,13,"['c8Ko6', 'r6eYv', 'NGrvn']","['cvlwU', 'AbuTU', 'B56Yb']","['KcBv6', '2aGNX', 'MGVAV']","[869.58, 20.32, 321.85]","[602.5, 491.61, 954.71]",105,in stock,2025-03-27T06:32:17.110054,"['4pXoT', '7Q6NS', '3gbjb']",True,Sports/Outdoor,Green,Green,XL,BrandC,Male,https://picsum.photos/seed/40zB6/600/600,https://picsum.photos/seed/DPtyk/50/50,https://picsum.photos/seed/HQI6a/150/150,516c9f89-fccf-4b36-97f2-5bc3d439c748,new,"['MWwUO', 'oRsDS', 'muFn1']",standard,"['f8mUG', 'KdUBe', 'PBsMH']",f66d661f-44df-411a-8489-b96266bf17d0,217.48,77.05,158.94,60.51,-56.567311,-155.671904,6831464577548,"['poD6G', 'CvQVD', 'usBzZ']",2.9
Product I9AIp,https://example.com/XxHGTLTB,Description ZnjYR6onuAO9LKGvlU7n,141.92,204.98,30.76,63.06,89.47,Canada,13 days,Supplier 8yCQW,26,"['PDiNy', 'Z60he', 'yBvKN']","['di234', 'gYRyT', 'VbxaK']","['X1WCd', 'cK8ah', '5DnBu']","[479.49, 631.56, 788.3]","[560.46, 268.59, 616.86]",750,out of stock,2025-03-24T06:32:17.110191,"['W0zJE', 'JNfM5', 'vEptq']",True,Electronics/Phones,Red,Blue,L,BrandD,Female,https://picsum.photos/seed/bF8KD/600/600,https://picsum.photos/seed/eo3kG/50/50,https://picsum.photos/seed/X72GQ/150/150,2576d272-ea76-4eea-9c93-a5479484933c,new,"['9hKsU', '1Yv9F', 'GUrHT']",exclusive,"['uRay5', 'JKRJv', 'eakNA']",181293de-5d9c-4be9-9c19-15864e4796ab,376.83,60.99,55.33,84.03,-42.154025,178.861345,1019935240228,"['LdLre', 'JygWg', 'ev1Az']",4.2
Product 6LWpP,https://example.com/YoAMQRRW,Description eji9okVdFhtMPHOZDuth,416.54,473.19,11.97,56.64999999999998,110.33,USA,1 days,Supplier blLK6,44,"['Lgfrt', '1OEn3', 'krlWT']","['vzYq8', 'WBKRP', '5TEhC']","['oSQog', 'as7jH', 'Ftym3']","[923.9, 471.36, 83.28]","[439.94, 871.39, 382.36]",836,out of stock,2025-02-08T06:32:17.110329,"['k2XGf', '4pWum', 'YXoj2']",True,Clothing/Women,White,Red,S,BrandD,Unisex,https://picsum.photos/seed/9WAtj/600/600,https://picsum.photos/seed/q6sqF/50/50,https://picsum.photos/seed/RLt9n/150/150,f5a0ebf1-ed0a-41d5-9e06-8ba651a9a514,new,"['hlsJ0', '4Rkb1', 'CUMhe']",premium,"['9Tb5M', 'QJSzK', 'PZSie']",94061d38-55b6-422b-af1a-695d4a071a97,494.6,42.41,164.56,183.15,83.561551,-163.473517,0420767264819,"['D7oSh', 'IKNvN', 'lafKy']",2.6
Product riXpq,https://example.com/p8TzyzTa,Description et3PBhHTWLYyco4PqEno,445.94,457.35,2.49,11.410000000000025,330.6,Canada,12 days,Supplier BagoB,6,"['ICsE4', 'MXuvX', 'y9hOh']","['98ptA', '3I6Vl', 'l5GmW']","['83pSz', 'UMRMz', 'bKDuP']","[236.69, 502.52, 117.7]","[21.91, 306.31, 35.41]",872,preorder,2024-12-14T06:32:17.110474,"['jpK03', 'atQ72', 'XQUf0']",False,Electronics/Phones,White,Red,S,BrandD,Female,https://picsum.photos/seed/NMw2W/600/600,https://picsum.photos/seed/19Bbq/50/50,https://picsum.photos/seed/aQEbN/150/150,0ed0f6b4-b0f7-4a75-8e8c-8608aa99f9a0,used,"['aJuuT', 'qUbjN', 'aLraj']",exclusive,"['gwLae', 'wqf7n', '7XtfX']",aafb3e7d-b846-4bf9-bee7-0203aca54e2f,157.45,176.34,58.68,138.48,72.545155,149.80337,3239847604420,"['YTFjp', 'CxLlW', '8Kueq']",4.2
Product xxrf2,https://example.com/oPbCOCos,Description qtwqrHb5FlpXVwroO9WL,197.94,292.2,32.26,94.25999999999999,138.84,Japan,11 days,Supplier j3Z6p,27,"['oK3x1', 'nQ55c', '05eTJ']","['oBUih', 'JDWEd', 'Bwpla']","['WuDDs', 'JFdF9', 'G18co']","[581.57, 312.76, 518.51]","[756.51, 565.27, 72.51]",49,out of stock,2025-07-27T06:32:17.110595,"['RmpgV', 'Zi3Sn', 'hhMMC']",True,Electronics/Phones,Blue,White,XL,BrandA,Male,https://picsum.photos/seed/Hwrx3/600/600,https://picsum.photos/seed/lqVlk/50/50,https://picsum.photos/seed/Bviv3/150/150,1c3e75c9-2008-47d6-8b02-dbbe26305e38,new,"['D6hP1', 'FlC84', 'ewZ5G']",exclusive,"['qyXO7', 'cq241', '6qpZ6']",057ef84c-0dea-40dc-8e48-a9e74d5ea565,481.21,76.83,105.56,79.66,64.531128,2.898957,3844118498838,"['rO41H', 'MyvXZ', 'tQ1jN']",1.0
Product KiL2A,https://example.com/dA7y5D9q,Description Xu1WGlY0yVFfKibyGrse,140.49,206.69,32.03,66.19999999999999,48.11,France,12 days,Supplier 5SmUs,43,"['qS7KV', 'sSRmP', 'jYwZB']","['Z9WMy', 'kCHHo', 'oOPQc']","['RJR71', 'BDFNl', 'sxXG0']","[387.21, 770.36, 441.75]","[607.5, 873.02, 983.17]",503,out of stock,2025-07-13T06:32:17.110734,"['9xKwu', 'LUZyX', 'LJmOx']",True,Clothing/Men,Green,Blue,S,BrandC,Unisex,https://picsum.photos/seed/DxSAq/600/600,https://picsum.photos/seed/vTRFU/50/50,https://picsum.photos/seed/28mfN/150/150,d163989e-2f35-4b5a-89d3-6c8e8442db41,used,"['eTBec', 'BO51n', 'Hsu9F']",exclusive,"['8no9r', 'gIXXG', 'IkGW5']",35615b09-c30b-42ef-8bab-e7cc0941099d,236.56,110.29,97.05,114.89,32.720724,-85.572543,4788223311653,"['CqDe8', 't4iXe', 'HA1L2']",3.3
Product YdQU8,https://example.com/o4DrA1nL,Description 6FRmIKoXG2jG2D9HMlLi,52.84,124.37,57.51,71.53,8.41,France,12 days,Supplier 3L4sm,18,"['3UD5r', 'IO02Q', 'Ue4HV']","['LXyZu', 'DITAK', 'lS6II']","['xZ0tb', 'SPCBZ', '1vJq1']","[183.22, 902.18, 445.69]","[574.5, 401.12, 629.75]",916,preorder,2024-11-29T06:32:17.110837,"['bAM7X', 'fWA34', 'O4TQy']",False,Sports/Outdoor,Green,White,M,BrandA,Male,https://picsum.photos/seed/d1xKD/600/600,https://picsum.photos/seed/QxhsT/50/50,https://picsum.photos/seed/d0Qqe/150/150,a45d632c-2a76-4907-9efa-87598634a207,new,"['eBRu7', '4CvBS', 'bg7wW']",premium,"['AQItd', '4cTXy', '5Pwhm']",56a43344-fbfa-4306-9be4-766deec6950b,208.81,103.7,16.25,173.98,45.267593,137.460576,6965739107813,"['hKEkq', 'xza4r', 'C0TFE']",1.3
